NAME	BD_NAME	BD	DD_NAME	DD
John_Scott_(representative)	Roger H. Zion	1921-09-17	Sherman Adams	October 27	 1986
John_Scott_Harrison	Roger Jepsen	1928-12-23	Sherman Everett Burroughs	January 27	 1923
John_Seaton_Robinson	Roger Marshall (politician)	1960-08-09	Sherman Hoar	October 7	 1898
John_Sebastian_Little	Roger Q. Mills	1832-03-30	Sherman Minton	April 9	 1965
John_Sergeant_(politician)	Roger S. Baldwin	1793-01-04	Sherman Otis Houghton	August 31	 1914
John_Sergeant_Wise	Roger Sherman	1721-04-19	Sherman P. Lloyd	December 15	 1979
John_Sevier	Roger Wicker	1951-07-05	Shirley Chisholm	January 1	 2005
John_Shadegg	Roger Williams (American politician)	1949-09-13	Shirley Neil Pettis	December 30	 2016
John_Sharp_Williams	Rogers Morton	1914-09-19	Sid Simpson	October 26	 1958
John_Sherman	Roland Burris	1937-08-03	Sidney Breese	June 27	 1878
John_Sherman_Cooper	Roland V. Libonati	1900-12-29	Sidney C. Roach	June 29	 1934
John_Shimkus	Rolla C. McMillen	1880-10-05	Sidney Clarke	June 18	 1909
John_Simpkins	Rollin B. Sanford	1874-05-18	Sidney Dean	October 29	 1901
John_Slidell	Rollin Carolas Mallary	1784-05-27	Sidney Edgerton	July 19	 1900
John_Sloane	Rollin M. Daggett	1831-02-22	Sidney Parham Epes	March 3	 1900
John_Sloss_Hobart	Rollin R. Rees	1865-01-10	Sidney Perham	April 10	 1907
John_Smilie	Roman Hruska	1904-08-16	Sidney R. Yates	October 5	 2000
John_Smith	Roman Pucinski	1919-05-13	Silas Betton	January 22	 1822
John_Smith_(Vermont_politician)	Romano Mazzoli	1932-11-02	Silas Hare	November 26	 1908
John_Smith_(Virginia_representative)	Romeo H. Freer	1846-11-09	Silas M. Burroughs (politician)	June 3	 1860
John_Smith_Chipman	Romualdo Pacheco	1831-10-31	Silas Reynolds Barton	November 7	 1916
John_Snyder_(Pennsylvania)	Romulus Zachariah Linney	1841-12-26	Silas Stow	January 19	 1827
John_Sparkman	Ron Barber	1945-08-25	Silas Talbot	June 30	 1813
John_Speed_Smith	Ron Dellums	1935-11-24	Silas Wood	March 2	 1847
John_Spratt	Ron DeSantis	1978-09-14	Silas Wright Jr.	August 27	 1847
John_Stanly	Ron Estes	1956-07-19	Silas Z. Landes	May 23	 1910
John_Steele_(North_Carolina_politician)	Ron Johnson (Wisconsin politician)	1955-04-08	Silvio O. Conte	February 8	 1991
John_Stephens_Wood	Ron Kind	1963-03-16	Simeon B. Chittenden	April 14	 1889
John_Stewart_(Connecticut)	Ron Klein	1957-07-10	Simeon Baldwin	May 26	 1851
John_Stewart_(Pennsylvania)	Ron Klink	1951-09-23	Simeon D. Fess	December 23	 1936
John_Stockdale_Rhea	Ron Lewis	1946-09-14	Simeon Olcott	February 22	 1815
John_Stoughton_Newberry	Ron Marlenee	1935-08-08	Simon B. Conover	April 19	 1908
John_Stratton_(Virginia_politician)	Ron Packard	1931-01-19	Simon Cameron	June 26	 1889
John_Strohm_(congressman)	Ron Wright (politician)	1953-04-08	Simon Guggenheim	November 2	 1941
John_Stuart_Williams	Ron Wyden	1949-05-03	Simon J. Schermerhorn	July 21	 1901
John_Swanwick	Ronald 'Bo' Ginn	1934-05-31	Simon Larned	November 16	 1817
John_Swinburne_(New_York)	Ronald A. Sarasin	1934-12-31	Sinclair Weeks	February 7	 1972
John_T._Andrews	Ronald B. Cameron	1927-08-16	Slade Gorton	August 19	 2020
John_T._Averill	Ronald D. Coleman	1941-11-29	Smedley Darlington	June 24	 1899
John_T._Bird	Ronald M. Mottl	1934-02-06	Smith Ely Jr.	July 1	 1911
John_T._Buckbee	Ronald Machtley	1948-07-13	Smith McPherson	January 17	 1915
John_T._Cutting	Ronnie Flippo	1937-08-15	Smith S. Turner	April 8	 1898
John_T._Deweese	Ronnie Shows	1947-01-26	Smith W. Brookhart	November 15	 1944
John_T._Dunn	Rorer A. James	1859-03-01	Snyder S. Kirkpatrick	April 5	 1909
John_T._Harris	Rosa DeLauro	1943-03-02	Sol Bloom	March 7	 1949
John_T._Heard	Roscoe Bartlett	1926-06-03	Solomon Bundy	January 13	 1889
John_T._Hunt	Roscoe C. McCulloch	1880-11-27	Solomon Foot	March 28	 1866
John_T._Myers_(congressman)	Roscoe C. Patterson	1876-09-15	Solomon G. Haven	December 24	 1861
John_T._Nixon	Roscoe Conkling	1829-10-30	Solomon Hillen Jr.	June 26	 1873
John_T._Smith_(congressman)	Rose McConnell Long	1892-04-08	Solomon L. Hoge	February 23	 1909
John_T._Spriggs	Ross A. Collins	1880-04-25	Solomon P. Sharp	November 7	 1825
John_T._Stuart	Ross Bass	1918-03-17	Solomon Robert Dresser	January 21	 1911
John_T._Wait	Ross Rizley	1892-07-05	Solomon Strong	September 16	 1850
John_Taber	Ross Spano	1966-07-16	Solomon Van Rensselaer	April 23	 1852
John_Taffe	Roswell P. Flower	1835-08-07	Solomon W. Downs	August 14	 1854
John_Taliaferro	Rousseau Owen Crump	1843-05-20	Solon Borland	January 1	 1864
John_Taylor	Rowland B. Mahany	1864-09-28	Sonny Bono	January 5	 1998
John_Taylor_(14th_Congress)	Rowland Day	1779-03-06	Sonny Montgomery	May 12	 2006
John_Taylor_(South_Carolina_governor)	Roy A. Taylor	1910-01-31	South Trimble	November 23	 1946
John_Taylor_Hamilton	Roy Blunt	1950-01-10	Spark Matsunaga	April 15	 1990
John_Taylor_of_Caroline	Roy Clippinger	1886-01-13	Speedy Long	October 5	 2006
John_Test	Roy Dyson	1948-11-15	Spencer Darwin Pettis	August 28	 1831
John_Thomas_Lenahan	Roy E. Ayers	1882-11-09	Spencer Jarnagin	June 25	 1853
John_Thomas_Wilson	Roy G. Fitzgerald	1875-08-25	Spessard Holland	November 6	 1971
John_Thompson_(1749-1823)	Roy H. Thorpe	1874-12-13	Staley N. Clarke	October 14	 1860
John_Thompson_(1809-90)	Royal S. Copeland	1868-11-07	Stanford Parris	March 27	 2010
John_Thomson_(Ohio_politician)	Ruben Gallego	1979-11-20	Stanley E. Bowdle	April 6	 1919
John_Thomson_Mason_Jr.	Ruben Hinojosa	1940-08-20	Stanley Griswold	August 21	 1815
John_Thune	Ruben Kihuen	1980-04-25	Stanley H. Kunz	April 23	 1946
John_Thurston	Rudolph G. Tenerowicz	1890-06-14	Stanley L. Greigg	June 13	 2002
John_Tipton	Rudolph Kleberg	1847-06-26	Stanley R. Tupper	January 6	 2006
John_Tod	Rudy Boschwitz	1930-11-07	Stanley Woodward Davenport	September 26	 1921
John_Tolley_Hood_Worthington	Rufus Blodgett	1834-10-09	Stanton J. Peelle	September 4	 1928
John_Tower	Rufus C. Holman	1877-10-14	Stanton Warburton	December 24	 1926
John_Travers_Wood	Rufus Choate	1799-10-01	Stanyarne Wilson	February 14	 1928
John_Treadway_Rich	Rufus Dawes	1838-07-04	Starling Tucker	January 3	 1834
John_Trimble_(politician)	Rufus E. Lester	1837-12-12	Stephanie Tubbs Jones	August 20	 2008
John_Truman_Stoddert	Rufus Hardy (representative)	1855-12-16	Stephen A. Cobb	August 24	 1878
John_Tyler	Rufus King	1755-03-24	Stephen A. Corker	October 18	 1879
John_Tyler_Morgan	Rufus King Polk	1866-08-23	Stephen A. Day	January 5	 1950
John_U._Pettit	Rufus McIntire	1784-12-19	Stephen A. Douglas	June 3	 1861
John_V._Beamer	Rufus Palen	1807-02-25	Stephen A. Hoxworth	January 25	 1930
John_V._Creely	Rush D. Holt Sr.	1905-06-19	Stephen A. Hurlbut	March 27	 1882
John_V._L._Pruyn	Rush Holt Jr.	1948-10-15	Stephen A. Northway	September 8	 1898
John_V._Le_Moyne	Russ Carnahan	1958-07-10	Stephen Adams (politician)	May 11	 1857
John_V._Tunney	Russ Feingold	1953-03-02	Stephen Baker (New York politician)	June 9	 1875
John_Van_Buren_(U.S._representative)	Russ Fulcher	1962-03-09	Stephen Barlow (Pennsylvania)	August 24	 1845
John_Van_Dyke_(politician)	Russell A. Alger	1836-02-27	Stephen Benton Elkins	January 4	 1911
John_Van_Lear_Findlay	Russell B. Long	1918-11-03	Stephen Bolles	July 8	 1941
John_Van_McDuffie	Russell Errett	1817-11-10	Stephen Bullock	February 2	 1816
John_Van_Voorhis	Russell Sage	1816-08-04	Stephen C. Phillips	June 26	 1857
John_Vandling_Lesher	Russell V. Mack	1891-06-13	Stephen Clark Foster (Maine)	October 5	 1872
John_Varnum	Russell W. Keeney	1897-12-29	Stephen Coburn	July 4	 1882
John_Vines_Wright	Ruth Baker Pratt	1877-08-24	Stephen D. Miller	March 8	 1838
John_W._A._Sanford	Ruth Bryan Owen	1885-10-02	Stephen Decatur Miller	March 8	 1838
John_W._Allen	Ruth Hanna McCormick	1880-03-27	Stephen Fowler Wilson	March 30	 1897
John_W._Boehne	Ruth Thompson	1887-09-15	Stephen G. Porter	June 27	 1930
John_W._Boehne_Jr.	Rutherford B. Hayes	1822-10-04	Stephen Lindsey	April 26	 1884
John_W._Bricker	Ryan Costello	1976-09-07	Stephen Longfellow	August 2	 1849
John_W._Brown_(New_York_politician)	Ryan Zinke	1961-11-01	Stephen M. Sparkman	September 26	 1929
John_W._Byrnes	S. Harrison White	1864-12-24	Stephen M. White	February 21	 1901
John_W._Cady	S. Hubert Dent Jr.	1869-08-16	Stephen M. Young	December 1	 1984
John_W._Caldwell	S. I. Hayakawa	1906-07-18	Stephen Mallory	November 9	 1873
John_W._Candler	S. Otis Bland	1872-05-04	Stephen Mallory II	December 23	 1907
John_W._Cassingham	Sala Burton	1925-04-01	Stephen Mix Mitchell	September 30	 1835
John_W._Causey	Salma Hale	1787-03-07	Stephen Morgan (American politician)	February 9	 1928
John_W._Cox_Jr.	Salmon P. Chase	1808-01-13	Stephen Pace	April 5	 1970
John_W._Cranford	Salud Carbajal	1964-11-18	Stephen R. Bradley	December 9	 1830
John_W._Daniel	Sam B. Hall Jr.	1924-01-11	Stephen Ross Harris	January 15	 1905
John_W._Davis	Sam Brownback	1956-09-12	Stephen Solarz	November 29	 2010
John_W._Ferdon	Sam Coppersmith	1955-05-22	Stephen Strong	April 15	 1866
John_W._Fishburne	Sam Ervin	1896-09-27	Stephen T. Hopkins	March 3	 1892
John_W._Flannagan_Jr.	Sam Farr	1941-07-04	Stephen Taber	April 23	 1886
John_W._Gaines	Sam G. Bratton	1888-08-19	Stephen V. White	January 18	 1913
John_W._Gwynne	Sam Gejdenson	1948-05-20	Stephen W. Dorsey	March 20	 1916
John_W._Harreld	Sam Gibbons	1920-01-20	Stephen Warfield Gambrill	December 19	 1938
John_W._Hazelton	Sam Graves	1963-11-07	Steve Horn	February 17	 2011
John_W._Heselton	Sam Hobbs	1887-10-05	Steve LaTourette	August 3	 2016
John_W._Houston	Sam Houston	1793-03-02	Steven Beckwith Ayres	June 1	 1929
John_W._Hulbert	Sam Johnson	1930-10-11	Steven Derounian	April 17	 2007
John_W._Hunter	Sam L. Collins	1895-08-06	Steven Schiff	March 25	 1998
John_W._Johnston	Sam M. Russell	1889-08-09	Steven V. Carter	November 4	 1959
John_W._Kendall	Sam Nunn	1938-09-08	Stevens T. Mason	January 4	 1843
John_W._Kern	Sam Rayburn	1882-01-06	Stewart H. Appleby	January 12	 1964
John_W._Kittera	Sam Steiger	1929-03-10	Stewart L. Woodford	February 14	 1913
John_W._Langley	Sampson H. Butler	1803-01-03	Stewart McKinney (politician)	May 7	 1987
John_W._Lawrence	Sampson Willis Harris	1809-02-23	Stewart Udall	March 20	 2010
John_W._Lawson	Samson Mason	1793-07-24	Strom Thurmond	June 26	 2003
John_W._Lewis	Samuel A. Cook	1849-01-28	Strother M. Stockslager	June 1	 1930
John_W._Longyear	Samuel Alfred Craig	1839-11-19	Stuart Symington	December 14	 1988
John_W._Maddox	Samuel Arza Davenport	1834-01-15	Stuyvesant Wainwright	March 6	 2010
John_W._McCormack	Samuel Atkins Eliot (politician)	1798-03-05	Styles Bridges	November 26	 1961
John_W._McCormick	Samuel Augustus Bridges	1802-01-27	Summers Melville Jack	September 16	 1945
John_W._Moon	Samuel Austin Kendall	1859-11-01	Syd Herlong	December 27	 1995
John_W._Murphy	Samuel Axley Smith	1822-06-26	Sydenham Elnathan Ancona	June 20	 1913
John_W._Rainey	Samuel B. Cooper	1850-05-30	Sydenham Moore	August 20	 1862
John_W._Stevenson	Samuel B. Hill	1875-04-02	Sydney Anderson	October 8	 1948
John_W._Stewart	Samuel B. Maxey	1825-03-30	Sydney Emanuel Mudd II	October 11	 1924
John_W._Stone	Samuel B. Pettengill	1886-01-19	T. Ashton Thompson	July 1	 1965
John_W._Summers	Samuel B. Sherwood	1767-11-26	T. Coleman du Pont	November 11	 1930
John_W._Taylor_(politician)	Samuel Beach Axtell	1819-10-14	T. Cooper Evans	December 22	 2005
John_W._Thomas	Samuel Bell	1770-02-09	T. Frank Appleby	December 15	 1924
John_W._Tibbatts	Samuel Bernard Dick	1836-10-26	T. James Tumulty	November 23	 1981
John_W._Weeks	Samuel Butman	1788-04-30	T. Millet Hand	December 26	 1956
John_W._Weeks_(New_Hampshire_politician)	Samuel Byrns	1848-03-04	T. R. Stockdale	January 8	 1899
John_W._Wydler	Samuel C. Crafts	1768-10-06	T. Vincent Quinn	March 1	 1982
John_Wales	Samuel C. Hyde	1842-04-22	Tappan Wentworth	June 12	 1875
John_Walker	Samuel C. Pomeroy	1816-01-03	Tasker Oddie	February 17	 1950
John_Walker_Ryon	Samuel Calvin	1811-07-30	Taul Bradford	October 28	 1883
John_Walsh	Samuel Campbell (American politician)	1773-07-11	Taylor Webster	April 27	 1876
John_Walter_Smith	Samuel Cushman	1783-06-08	Tazewell Ellett	May 19	 1914
John_Warner	Samuel D. Burchard	1836-07-17	Ted Kennedy	August 25	 2009
John_Watts_(New_York_politician)	Samuel D. Ingham	1779-09-16	Ted Risenhoover	?
John_Wayles_Eppes	Samuel D. Jackson	1895-05-28	Ted Stevens	August 9	 2010
John_Weinland_Killinger	Samuel D. McEnery	1837-05-28	Ted Weiss	September 14	 1992
John_Welborn_(representative)	Samuel D. Nicholson	1859-02-22	Tennyson Guyer	April 12	 1981
John_Welch_(politician)	Samuel Dana	1767-06-26	Teno Roncalio	March 30	 2003
John_Wells_(New_York_politician)	Samuel Dexter	1761-05-14	Terry Carpenter	April 27	 1978
John_Wentworth_(Illinois)	Samuel Dickinson Hubbard	1799-08-10	Terry Sanford	April 18	 1998
John_Wesley_Crockett	Samuel Dickstein	1885-02-05	Teunis G. Bergen	April 24	 1881
John_Wesley_Davis	Samuel Dinsmoor	1766-07-01	Thad Cochran	May 30	 2019
John_Westbrook_(Pennsylvania)	Samuel E. Hogg	1783-04-18	Thaddeus Betts	April 7	 1840
John_Westbrook_Hornbeck	Samuel Earle	1760-11-28	Thaddeus C. Pound	November 21	 1914
John_Wethered	Samuel Eddy	1769-03-31	Thaddeus C. Sweet	May 1	 1928
John_Wheeler_(New_York_politician)	Samuel Edwards	1785-03-12	Thaddeus H. Caraway	November 6	 1931
John_White_(Kentucky_politician)	Samuel F. Gove	1822-03-09	Thaddeus J. Dulski	October 11	 1988
John_Whiteaker	Samuel F. Hersey	1812-04-12	Thaddeus M. Machrowicz	February 17	 1970
John_Whitehill	Samuel F. Miller (U.S. politician)	1827-05-27	Thaddeus Stevens	August 11	 1868
John_Whiteside	Samuel Feiser Glatfelter	1858-04-07	Thaddeus Wasielewski	April 25	 1976
John_Wilbur_Dwight	Samuel Fenton Cary	1814-02-18	Theobald Otjen	April 11	 1924
John_Wiley_Bryant	Samuel Finley Vinton	1792-09-25	Theodore Arlington Bell	September 4	 1922
John_William_Davis_(Georgia_politician)	Samuel Fleming Barr	1829-06-15	Theodore B. Werner	January 24	 1989
John_William_Jones	Samuel G. Andrews	1796-10-16	Theodore Christianson	December 9	 1948
John_William_Moore	Samuel G. Arnold	1821-04-12	Theodore E. Burton	October 28	 1929
John_William_Noell	Samuel G. Hilborn	1834-12-09	Theodore F. Green	May 19	 1966
John_William_Palmer	Samuel Goode	1756-03-21	Theodore Fitz Randolph	November 7	 1883
John_William_Reid	Samuel Griffin	1746-04-20	Theodore Foster	January 13	 1828
John_Williams	Samuel Griffith (Pennsylvania)	1816-02-14	Theodore Frelinghuysen	April 12	 1862
John_Williams_(Rochester	_New_York)	Samuel Gross (politician)	1776-11-10	Theodore G. Bilbo	August 21	 1947
John_Williams_(Salem	_New_York)	Samuel H. Piles	1858-12-28	Theodore G. Croft	March 23	 1920
John_Williams_Shackelford	Samuel H. Walley	1805-08-31	Theodore Gourdin	January 17	 1826
John_Williams_Walker	Samuel Hammond	1757-09-21	Theodore L. Poole	December 23	 1900
John_Wilson_(South_Carolina_politician	_born_1773)	Samuel Hays (Pennsylvania politician)	1783-09-10	Theodore Lyman III	September 9	 1897
John_Wilson_Campbell	Samuel Herrick (politician)	1779-04-14	Theodore M. Pomeroy	March 23	 1905
John_Wilson_Farrelly	Samuel Hoar	1778-05-18	Theodore R. Kupferman	September 23	 2003
John_Winans	Samuel Holten	1738-06-09	Theodore Sedgwick	January 24	 1813
John_Winebrenner_Rife	Samuel Hooper	1808-02-03	Theodore Stark Wilkinson (Louisiana)	February 1	 1921
John_Winfield_Wallace	Samuel Hopkins (congressman)	1753-04-09	Theodore W. Hukriede	April 14	 1945
John_Winston_Jones	Samuel I. Hopkins	1843-12-12	Theodore Weld Burdick	July 16	 1898
John_Winthrop_Chanler	Samuel J. Barrows	1845-05-26	Theodoric R. Westbrook	October 6	 1885
John_Witcher	Samuel J. Gholson	1808-05-19	Theodorus Bailey (politician)	September 6	 1828
John_Wolcott_Stewart	Samuel J. Kirkwood	1813-12-20	Theophilus Bradbury	September 6	 1803
John_Wood_(congressman)	Samuel J. Nicholls	1885-05-07	Thetus W. Sims	December 17	 1939
John_Woodruff_(representative)	Samuel J. Potter	1753-06-29	Thomas A. Boyd	May 28	 1897
John_Woods_(Ohio_politician)	Samuel J. R. McMillan	1826-02-22	Thomas A. Burke	December 5	 1971
John_Woods_(Pennsylvania)	Samuel J. Randall	1828-10-10	Thomas A. Doyle	January 29	 1935
John_Wurts	Samuel Joelah Tribble	1869-11-15	Thomas A. E. Weadock	November 18	 1938
John_Y._Brown_(politician	_born_1835)	Samuel Johnson Pugh	1850-01-28	Thomas A. Flaherty	April 27	 1965
John_Y._Brown_Sr.	Samuel Johnston	1733-12-15	Thomas A. Hendricks	November 25	 1885
John_Y._Mason	Samuel Jordan Cabell	1756-12-15	Thomas A. Jenkins	December 21	 1959
John_Y._McCollister	Samuel L. Devine	1915-12-21	Thomas A. Tomlinson	June 18	 1872
John_Yarmuth	Samuel L. Mitchill	1764-08-20	Thomas A. Wofford	February 25	 1978
John_Young_(governor)	Samuel L. Southard	1787-06-09	Thomas Abernethy (politician)	June 11	 1998
John_Z._Goodrich	Samuel L. Warner	1828-06-14	Thomas Alan Goldsborough	June 16	 1951
Johnathan_McCarty	Samuel Lahm	1812-04-22	Thomas Alberter Chandler	June 22	 1953
Johnny_Isakson	Samuel Lathrop	1772-05-01	Thomas Alexander Marshall	April 17	 1871
Johnson_N._Camden	Samuel Lawrence (congressman)	1773-05-23	Thomas Allen (representative)	April 8	 1882
Johnson_N._Camden_Jr.	Samuel Lewis Hays	1794-10-20	Thomas B. Butler	June 8	 1873
Johnston_Cornish	Samuel Livermore	1732-05-14	Thomas B. Catron	May 15	 1921
Jolene_Unsoeld	Samuel Locke Sawyer	1813-11-27	Thomas B. Cooke	November 20	 1853
Jon_Corzine	Samuel Lyman	1749-01-25	Thomas B. Curtis	January 10	 1993
Jon_D._Fox	Samuel M. Brinson	1870-03-20	Thomas B. Dunn	July 2	 1924
Jon_Hinson	Samuel M. Clark	1842-10-11	Thomas B. Fletcher	July 1	 1945
Jon_Kyl	Samuel M. Shortridge	1861-08-03	Thomas B. Fugate	September 22	 1980
Jon_Lynn_Christensen	Samuel Maclay	1741-06-17	Thomas B. Jackson	April 23	 1881
Jon_Porter	Samuel McClary Fite	1816-06-12	Thomas B. Kyle	August 13	 1915
Jon_Runyan	Samuel McKean	1787-04-07	Thomas B. Robertson	October 5	 1828
Jon_Tester	Samuel McKee (politician	 born 1774)	1774-10-13	Thomas B. Stanley	July 10	 1970
Jonah_Sanford	Samuel McRoberts	1799-04-12	Thomas B. Turley	July 1	 1910
Jonas_Earll_Jr.	Samuel Myron Brainerd	1842-11-13	Thomas Baldwin Peddie	February 16	 1889
Jonas_G._Howard	Samuel P. Morrill	1816-02-11	Thomas Barlow (Kentucky)	January 31	 2017
Jonas_H._McGowan	Samuel Pasco	1834-06-28	Thomas Bartlett Jr.	September 12	 1876
Jonas_Kendall	Samuel Peyton	1804-01-08	Thomas Beall Davis	November 26	 1911
Jonas_P._Phoenix	Samuel Powell	1776-07-10	Thomas Birch Florence	July 3	 1875
Jonas_Platt	Samuel Prentiss	1782-03-31	Thomas Blount (statesman)	February 7	 1812
Jonas_Sibley	Samuel Price	1805-07-28	Thomas Bouldin	February 11	 1834
Jonathan_Bourne_Jr.	Samuel R. Peters	1842-08-16	Thomas Brackett Reed	December 7	 1902
Jonathan_Brace	Samuel Riker	1743-04-08	Thomas Bragg	January 21	 1872
Jonathan_Brewster_Bingham	Samuel Rossiter Betts	1786-06-08	Thomas Buchecker Cooper	April 4	 1862
Jonathan_Chace	Samuel Rutherford (Georgia politician)	1870-03-15	Thomas Buck Reed	November 26	 1829
Jonathan_Cilley	Samuel Ryan Curtis	1805-02-03	Thomas Burnside	March 13	 1851
Jonathan_D._Morris	Samuel S. Arentz	1879-01-08	Thomas Burr Osborne (politician)	September 2	 1869
Jonathan_Dayton	Samuel S. Barney	1846-01-31	Thomas Butler King	May 10	 1864
Jonathan_Elmer	Samuel S. Cox	1824-09-30	Thomas C. Catchings	December 24	 1927
Jonathan_Fisk	Samuel S. Marshall	1821-03-12	Thomas C. Chittenden	August 22	 1866
Jonathan_Freeman_(representative)	Samuel S. Phelps	1793-05-13	Thomas C. Coffin	June 8	 1934
Jonathan_Grout	Samuel S. Yoder	1841-08-16	Thomas C. Hart	July 4	 1971
Jonathan_H._Rowell	Samuel Sewall (congressman)	1757-12-11	Thomas C. Hennings Jr.	September 13	 1960
Jonathan_H._Wallace	Samuel Shaw (politician)	1768-12-01	Thomas C. Hindman	September 27	 1868
Jonathan_Harvey_(congressman)	Samuel Shellabarger (congressman)	1817-12-10	Thomas C. McCreery	July 10	 1890
Jonathan_Hatch_Hubbard	Samuel Smith (New Hampshire)	1765-11-11	Thomas C. McGrath Jr.	January 15	 1994
Jonathan_Hunt_(Vermont_congressman)	Samuel Steel Blair	1821-12-05	Thomas C. Platt	March 6	 1910
Jonathan_Jennings	Samuel Stokely	1796-01-25	Thomas C. Power	February 16	 1923
Jonathan_Mason	Samuel Swinfin Burdett	1836-02-21	Thomas C. Ripley	February 12	 1897
Jonathan_Mason_(Massachusetts_politician)	Samuel T. Busey	1835-11-16	Thomas Chandler (New Hampshire politician)	January 28	 1866
Jonathan_Nicoll_Havens	Samuel T. Worcester	1804-08-30	Thomas Chandler Thacher	April 11	 1945
Jonathan_P._Dolliver	Samuel Taggart	1754-03-24	Thomas Child Jr.	March 9	 1869
Jonathan_Richmond	Samuel Tenney	1748-11-27	Thomas Chipman McRae	June 2	 1929
Jonathan_Roberts	Samuel W. Arnold	1879-09-21	Thomas Claiborne (1749-1812)	?
Jonathan_Roberts_(politician)	Samuel W. Dana	1760-02-13	Thomas Claiborne (1780-1856)	January 7	 1856
Jonathan_Robinson	Samuel W. Moulton	1821-01-20	Thomas Clarke Theaker	July 16	 1883
Jonathan_Ross	Samuel W. Reynolds	1890-08-11	Thomas Clayton	August 21	 1854
Jonathan_Russell	Samuel W. Trotti	1810-07-18	Thomas Contee Worthington	April 12	 1847
Jonathan_S._Willis	Samuel Williams Inge	1817-02-22	Thomas Cooper (American politician	 born 1764)	?
Jonathan_Scoville	Samuel Winslow	1862-04-11	Thomas Cornell (politician)	March 13	 1890
Jonathan_Sturges	Sander Levin	1931-09-06	Thomas Corwin	December 18	 1865
Jonathan_T._Updegraff	Sandy Adams	1956-12-14	Thomas Croxton	July 3	 1903
Jonathan_Taylor_(congressman)	Sanford Bishop	1947-02-04	Thomas Cunningham Cochran	December 10	 1957
Jonathan_Trumbull_Jr.	Saxby Chambliss	1943-11-10	Thomas Cusack (politician)	November 19	 1926
Jonathan_Ward_(politician)	Schuyler Colfax	1823-03-23	Thomas D. Eliot	June 14	 1870
Jonathan_Williams_(engineer)	Schuyler Merritt	1853-12-16	Thomas D. Schall	December 22	 1935
Joni_Ernst	Scott DesJarlais	1964-02-21	Thomas D. Singleton	November 25	 1833
Jordan_E._Cravens	Scott Field (politician)	1847-01-26	Thomas D'Alesandro Jr.	August 23	 1987
Jose_E._Serrano	Scott Garrett	1959-07-09	Thomas Daniel Winter	November 7	 1951
Joseph_"Pleasant_Gardens"_McDowell	Scott L. Klug	1953-01-16	Thomas Davenport (congressman)	November 17	 1838
Joseph_A._Conry	Scott Leavitt	1879-06-16	Thomas Davis (Rhode Island politician)	July 26	 1895
Joseph_A._Dixon	Scott Loftin	1878-09-14	Thomas De Lage Sumter	July 2	 1874
Joseph_A._Gavagan	Scott McInnis	1953-05-09	Thomas Dunn English	April 1	 1902
Joseph_A._Goulden	Scott Murphy	1970-01-26	Thomas Dwight (politician)	January 2	 1819
Joseph_A._LeFante	Scott Perry (politician)	1962-05-27	Thomas E. Martin	June 27	 1971
Joseph_A._McArdle	Scott Peters (politician)	1958-06-17	Thomas E. Miller	April 8	 1938
Joseph_A._Scranton	Scott Rigell	1960-05-28	Thomas E. Morgan	July 31	 1995
Joseph_A._Woodward	Scott Taylor (politician)	1979-06-27	Thomas E. Noell	October 3	 1867
Joseph_A._Wright	Scott Tipton	1956-11-09	Thomas E. Scroggy	March 6	 1915
Joseph_Abbott_(Texas_politician)	Scott W. Lucas	1892-02-19	Thomas E. Stewart	January 9	 1904
Joseph_Allen_(congressman)	Scott Wike	1834-04-06	Thomas E. Watson	September 26	 1922
Joseph_Anderson	Scotty Baesler	1941-07-09	Thomas Eagleton	March 4	 2007
Joseph_Anthony_Gray	Seaborn Reese	1846-11-28	Thomas Ewing	October 26	 1871
Joseph_Aristide_Landry	Seaborn Roddenbery	1870-01-12	Thomas F. Bayard	September 28	 1898
Joseph_B._Bennett	Sean Casten	1971-11-23	Thomas F. Bayard Jr.	July 12	 1942
Joseph_B._Cheadle	Sean Duffy	1971-10-03	Thomas F. Burchill	March 26	 1955
Joseph_B._Crowley	Sean Patrick Maloney	1966-07-30	Thomas F. Konop	October 17	 1964
Joseph_B._Foraker	Selah B. Strong	1792-05-01	Thomas F. Magner	December 22	 1945
Joseph_Bailey_(congressman)	Selah Tuthill	1771-10-26	Thomas F. Tipton	February 7	 1904
Joseph_Baltzell_Showalter	Selden P. Spencer	1862-09-16	Thomas Fielder Bowie	October 30	 1869
Joseph_Barker_(Massachusetts)	Sempronius H. Boyd	1828-05-28	Thomas Fitch (politician)	November 12	 1923
Joseph_Barton_Elam	Seth C. Moffatt	1841-08-10	Thomas Fitzsimons	August 26	 1811
Joseph_Bellinger	Seth Hastings	1762-04-07	Thomas Flournoy	March 12	 1883
Joseph_Benton_Donley	Seth M. Gates	1800-10-16	Thomas Francis Johnson	February 1	 1988
Joseph_Biles_Anthony	Seth Moulton	1978-10-24	Thomas Francis Marshall	September 22	 1864
Joseph_Bloomfield	Seth W. Brown	1841-01-04	Thomas Francis Smith	April 11	 1923
Joseph_Bouck	Seward H. Williams	1870-11-07	Thomas Frank Marshall	August 20	 1921
Joseph_Bradley_Varnum	Seymour Halpern	1913-11-19	Thomas G. Burch	March 20	 1951
Joseph_Brevard	Sharice Davids	1980-05-22	Thomas G. Lawson	April 16	 1912
